日期,ATR,RSI,EXPMA,KDJ,WVAD,VWAP,Volume,OI
2010/4/26,43.14285714,32.59471318,4773.372146,13.67806864,-37928.15109,4741.285989,1249174.00 ,1354608.00 
2010/4/27,45.78571429,21.58091438,4758.699509,10.98946072,-39069.66787,4689.710317,1613854.00 ,1268344.00 
2010/4/28,49.21428571,13.06614159,4732.438046,7.713904048,-57519.40118,4619.746196,1844532.00 ,1244012.00 
2010/4/29,49,12.73126596,4709.447577,5.975936032,-64445.94287,4599.173739,1839246.00 ,1268800.00 
2010/4/30,50.28571429,33.87997224,4697.994104,13.65062402,-46810.59156,4609.639683,1755184.00 ,1170234.00 
2010/5/4,52.57142857,43.37942453,4692.918088,24.14315106,-30618.21433,4649.355076,2101884.00 ,1186942.00 
2010/5/5,53.14285714,40.58090403,4686.776844,29.42876737,-1157.177617,4636.111524,2260862.00 ,1273452.00 
2010/5/6,52.92857143,36.78404736,4679.118868,30.37186642,-4585.802671,4653.013463,2128592.00 ,1234420.00 
2010/5/7,57.28571429,22.35321116,4658.485196,21.42785195,-20201.42076,4565.392741,2467400.00 ,1164612.00 
2010/5/10,56.28571429,21.16203624,4639.333627,20.61434856,-40087.69048,4527.262968,2868580.00 ,1248212.00 
2010/5/11,59.14285714,16.03509439,4614.666915,14.39649381,-68159.01358,4510.98037,2786906.00 ,1212108.00 
2010/5/12,62.35714286,11.57040748,4582.564313,10.88874235,-98837.92632,4422.202929,3290276.00 ,1241468.00 
2010/5/13,63.5,11.26115579,4554.477496,10.29933529,-96991.52632,4401.968562,3072762.00 ,1297804.00 
2010/5/14,66,9.572527714,4525.634804,7.288164456,-117378.3452,4394.682084,2932552.00 ,1269804.00 
2010/5/17,76.71428571,4.817689604,4473.383296,5.3910451,-150018.2098,4235.846998,3300006.00 ,1042606.00 
2010/5/18,79.5,11.51942886,4432.708942,7.968644977,-154519.1032,4180.038763,4119684.00 ,1041862.00 
2010/5/19,80.14285714,15.84736127,4400.446028,11.21520776,-113449.5289,4205.732939,3850530.00 ,1023638.00 
2010/5/20,82.42857143,24.68844326,4377.454332,15.99867546,-99273.85947,4267.673683,3534040.00 ,1111734.00 
2010/5/21,84.85714286,22.37165258,4354.461357,17.98285681,-108195.1225,4208.168664,3508858.00 ,1110908.00 
2010/5/24,86.71428571,46.11556735,4348.851918,29.84571407,-76370.15509,4284.875223,2764508.00 ,1175894.00 
2010/5/25,87.14285714,37.79270899,4335.797777,34.43001468,-94247.46949,4284.456683,3080458.00 ,1093622.00 
2010/5/26,87.21428571,39.72658325,4325.982734,38.73661756,-107826.36,4272.923465,2833618.00 ,1170856.00 
2010/5/27,84.28571429,39.35950569,4317.370006,48.86106092,-96909.61143,4251.065429,3119880.00 ,1225088.00 
2010/5/28,82.28571429,36.5245833,4307.928466,54.06766539,-117942.0342,4279.060495,2863524.00 ,1199618.00 
2010/5/31,80.07142857,29.14688687,4293.631779,48.95455149,-123066.101,4237.271466,2445792.00 ,1216832.00 
2010/6/1,77.07142857,23.91552716,4275.842275,35.99066535,-126472.4877,4189.884358,2637978.00 ,1194980.00 
2010/6/2,77.14285714,26.89439111,4261.86654,31.12287132,-110184.9153,4174.097593,3162462.00 ,1199922.00 
2010/6/3,75.35714286,33.58121694,4252.348611,30.7678487,-107500.8988,4197.686357,2346362.00 ,1187648.00 
2010/6/4,64.57142857,29.29406448,4241.218055,26.9765456,-114306.5307,4174.359359,1565600.00 ,1130706.00 
2010/6/7,69.35714286,13.20786425,4207.338355,19.5094182,-148634.5863,4037.344059,3841098.00 ,1189516.00 
2010/6/8,65.07142857,25.54981311,4184.824762,18.88863174,-150272.8215,4043.130956,1724628.00 ,1108706.00 
2010/6/9,64.57142857,36.86240117,4172.236337,23.0499375,-132532.015,4074.969771,1783182.00 ,1064854.00 
2010/6/10,60.71428571,33.78248417,4158.353823,25.366625,-115917.3159,4085.245953,1456194.00 ,994730.00 
2010/6/11,57.14285714,41.83574086,4151.06862,33.57775,-99381.94901,4110.905595,1156696.00 ,904970.00 
2010/6/17,55.57142857,42.12698555,4145.058063,39.21208974,-84960.97381,4130.046196,1009838.00 ,979222.00 
2010/6/18,54.71428571,36.81754114,4136.279899,39.12216239,-65345.94375,4106.788215,1199582.00 ,1048366.00 
2010/6/21,56.64285714,57.09545465,4140.390684,55.62689614,-43392.9897,4132.910735,2300688.00 ,1077552.00 
2010/6/22,54.64285714,50.59963288,4140.022887,63.23230202,-28688.49591,4143.090936,1298120.00 ,1073596.00 
2010/6/23,57.28571429,38.4279844,4130.788596,53.72894209,-7174.739971,4087.78479,2372220.00 ,1022420.00 
2010/6/24,56.35714286,44.25420222,4126.205735,50.57756444,-4128.274877,4099.115554,1308862.00 ,984610.00 
2010/6/25,54.28571429,40.52876233,4119.712545,40.96475311,-37275.90814,4085.515981,1070706.00 ,966066.00 
2010/6/28,57.64285714,31.97777713,4107.295231,29.82125093,-55773.50694,4058.380235,2150916.00 ,978348.00 
2010/6/29,59.14285714,25.51725032,4089.865195,22.28633224,-65383.06694,4005.581683,1921912.00 ,926822.00 
2010/6/30,49.35714286,24.33719744,4073.732088,19.02422149,-79159.1503,3971.973552,1170668.00 ,841566.00 
2010/7/1,48.71428571,21.08666672,4056.234844,13.88401553,-67877.19589,3966.541715,1226144.00 ,850456.00 
2010/7/2,48.21428571,28.00960939,4043.737176,16.883129,-45269.36637,3948.998689,1924718.00 ,827466.00 
2010/7/5,48.85714286,34.45025464,4035.316072,22.82004518,-44188.92175,3976.654982,1474782.00 ,860436.00 
2010/7/6,48.5,28.90821804,4024.344368,22.83747693,-30218.71353,3976.184728,1352474.00 ,864992.00 
2010/7/7,47.57142857,29.45296767,4015.214465,23.06812187,-17009.66645,3964.793052,914838.00 ,852552.00 
2010/7/8,49.71428571,23.08489577,4002.873778,17.87429159,-12766.66608,3957.226615,1464000.00 ,980932.00 
2010/7/9,46.85714286,31.91708364,3994.739351,22.13124816,-13059.56298,3932.008144,1754442.00 ,909114.00 
2010/7/12,46,29.98866289,3986.779451,26.49658968,-14478.25792,3943.01642,1167004.00 ,844098.00 
2010/7/13,43,23.62615659,3976.044151,21.56510234,-26750.20046,3919.879473,788188.00 ,768088.00 
2010/7/14,43.5,21.3287536,3965.268128,18.69772255,-9837.58574,3911.20084,613036.00 ,713666.00 
2010/7/15,44.35714286,23.75516452,3956.611493,19.19029456,-22711.28751,3907.140428,397954.00 ,647852.00 
2010/7/16,50,74.03903886,3973.440494,45.76056268,-28536.57736,4057.86132,959706.00 ,679620.00 
2010/7/19,52.5,80.73849105,3998.295802,63.31336589,-4758.763626,4103.96541,2277276.00 ,830550.00 
2010/7/20,54.35714286,84.38308582,4027.327217,75.21329656,10879.19387,4162.516913,2555240.00 ,864878.00 
2010/7/21,54.28571429,80.85262834,4050.353799,81.2319413,6439.358872,4179.937297,2335760.00 ,866754.00 
2010/7/22,52,79.26087531,4069.222446,84.81702069,7503.905667,4174.38723,1789848.00 ,913076.00 
2010/7/23,53.21428571,83.98901964,4092.880531,88.82437395,12217.22473,4216.433643,2843082.00 ,1034370.00 
2010/7/26,52.78571429,80.4667858,4111.668142,90.63936296,4378.825912,4217.097568,1946230.00 ,1069838.00 
2010/7/27,55.78571429,58.41799304,4118.334581,86.1186966,-5889.763955,4176.357679,1954296.00 ,1102482.00 
2010/7/28,56.57142857,69.33965168,4133.975415,88.11421879,4836.806045,4189.300354,2041104.00 ,1259150.00 
2010/7/29,56.57142857,68.02033278,4146.594582,87.67682268,10130.71918,4215.957062,2417326.00 ,1233180.00 
2010/7/30,60.07142857,77.05670726,4167.887723,91.36526124,57333.13435,4254.479252,3301522.00 ,1203746.00 
2010/8/2,62.28571429,80.98195893,4192.366535,90.07684083,76424.96143,4333.851678,2677346.00 ,1258936.00 
2010/8/3,63.42857143,70.92754741,4208.617837,84.57045799,51540.06189,4315.466705,2552662.00 ,1232048.00 
2010/8/4,64.35714286,74.35330328,4226.368939,85.06620276,71577.68371,4302.349667,2686216.00 ,1264022.00 
2010/8/5,57.35714286,66.40775097,4238.004487,81.87105825,52093.14524,4314.633991,2847134.00 ,1255884.00 
2010/8/6,53.42857143,69.10866251,4250.157643,82.14480806,59098.36842,4303.975737,2006040.00 ,1233682.00 
2010/8/9,53.5,77.91579783,4269.979544,87.95469474,86303.81244,4361.607001,2477098.00 ,1341754.00 
